image_id,width,height,lesion_ratio,processed_canvas,processed_content_width,processed_content_height,processed_image_pixels,processed_lesion_pixels,processed_lesion_ratio,processed_lesion_percent,status,flags
000001,640,480,0.525124,512x512,512,384,262144,103240,0.39382935,39.3829,ok,
000002,3008,2000,0.009418,512x512,512,340,262144,1640,0.0062561,0.6256,ok,
000003,639,602,0.06481,512x512,512,482,262144,15987,0.06098557,6.0986,ok,
000004,1024,768,0.054737,512x512,512,384,262144,10782,0.04113007,4.113,ok,
000005,722,540,0.711055,512x512,512,383,262144,139382,0.53170013,53.17,ok,
000006,2592,1944,0.007529,512x512,512,384,262144,1478,0.00563812,0.5638,ok,
000007,6688,4459,0.097561,512x512,512,341,262144,17043,0.06501389,6.5014,ok,
000008,4288,2848,0.030912,512x512,512,340,262144,5372,0.02049255,2.0493,ok,
000009,4288,2848,0.055564,512x512,512,340,262144,9673,0.03689957,3.69,ok,
000010,1504,1129,0.177125,512x512,512,384,262144,34802,0.13275909,13.2759,ok,
000011,919,802,0.525464,512x512,512,447,262144,120243,0.45869064,45.8691,ok,
000012,640,480,0.209033,512x512,512,384,262144,41135,0.15691757,15.6918,ok,
000013,640,480,0.139818,512x512,512,384,262144,27518,0.10497284,10.4973,ok,
000014,2592,1936,0.054624,512x512,512,382,262144,10712,0.04086304,4.0863,ok,
000015,3008,2000,0.011863,512x512,512,340,262144,2058,0.00785065,0.7851,ok,
000016,3072,2304,0.39397,512x512,512,384,262144,77460,0.29548645,29.5486,ok,
000017,4288,2848,0.054093,512x512,512,340,262144,9416,0.03591919,3.5919,ok,
000018,3872,2592,0.096573,512x512,512,343,262144,16965,0.06471634,6.4716,ok,
000019,3872,2592,0.03233,512x512,512,343,262144,5673,0.02164078,2.1641,ok,
000020,3008,2000,0.013844,512x512,512,340,262144,2409,0.00918961,0.919,ok,
000021,4288,2848,0.048786,512x512,512,340,262144,8496,0.03240967,3.241,ok,
000022,4288,2848,0.029493,512x512,512,340,262144,5128,0.01956177,1.9562,ok,
000023,767,576,0.330065,512x512,512,385,262144,65057,0.24817276,24.8173,ok,
000024,3024,2016,0.046042,512x512,512,341,262144,8038,0.03066254,3.0663,ok,
000025,1024,768,0.84643,512x512,512,384,262144,166481,0.63507462,63.5075,ok,
000026,4288,2848,0.027323,512x512,512,340,262144,4751,0.01812363,1.8124,ok,
000027,4288,2848,0.03658,512x512,512,340,262144,6360,0.02426147,2.4261,ok,
000028,1024,768,0.186198,512x512,512,384,262144,36650,0.13980865,13.9809,ok,
000029,4288,2848,0.158518,512x512,512,340,262144,27611,0.10532761,10.5328,ok,
000030,4288,2848,0.022195,512x512,512,340,262144,3864,0.01473999,1.474,ok,
000031,3072,2304,0.275366,512x512,512,384,262144,54236,0.20689392,20.6894,ok,
000032,959,723,0.164609,512x512,512,386,262144,32540,0.12413025,12.413,ok,
000033,3008,2000,0.028226,512x512,512,340,262144,4920,0.01876831,1.8768,ok,
000034,1024,768,0.467687,512x512,512,384,262144,91951,0.35076523,35.0765,ok,
000035,6682,4382,0.15102,512x512,512,336,262144,25964,0.0990448,9.9045,ok,
000036,1024,768,0.12399,512x512,512,384,262144,24389,0.09303665,9.3037,ok,
000037,6668,4439,0.251084,512x512,512,341,262144,43808,0.16711426,16.7114,ok,
000038,4288,2848,0.072124,512x512,512,340,262144,12556,0.04789734,4.7897,ok,
000039,6668,4459,0.6399,512x512,512,342,262144,112067,0.42750168,42.7502,ok,
000040,824,719,0.394819,512x512,512,447,262144,90408,0.34487915,34.4879,ok,
000041,3008,2000,0.011464,512x512,512,340,262144,2008,0.00765991,0.766,ok,
