image_id,width,height,processed_canvas,processed_content_width,processed_content_height,processed_image_pixels,processed_lesion_pixels,processed_lesion_ratio,processed_lesion_percent,pigment_network_present,pigment_network_ratio,negative_network_present,negative_network_ratio,streaks_present,streaks_ratio,milia_like_cyst_present,milia_like_cyst_ratio,globules_present,globules_ratio,status,flags
000001,640,480,256x256,256,192,65536,25810,0.39382935,39.3829,1,0.12726562,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000002,3008,2000,256x256,256,170,65536,413,0.00630188,0.6302,1,0.00598055,0,0.0,1,0.01053391,0,0.0,0,0.0,ok,
000003,639,602,256x256,256,241,65536,4009,0.06117249,6.1172,1,0.02608935,0,0.0,1,0.00419832,0,0.0,1,0.00239421,ok,
000004,1024,768,256x256,256,192,65536,2688,0.04101562,4.1016,1,0.02409108,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000005,722,540,256x256,256,191,65536,34776,0.53063965,53.064,1,0.05062327,1,0.14317482,0,0.0,0,0.0,1,0.01137529,ok,
000006,2592,1944,256x256,256,192,65536,375,0.00572205,0.5722,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000007,6688,4459,256x256,256,171,65536,4276,0.06524658,6.5247,0,0.0,0,0.0,0,0.0,0,0.0,1,0.00668276,ok,
000008,4288,2848,256x256,256,170,65536,1341,0.02046204,2.0462,0,0.0,0,0.0,0,0.0,0,0.0,1,0.01240077,ok,
000009,4288,2848,256x256,256,170,65536,2420,0.03692627,3.6926,1,0.00180221,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000010,1504,1129,256x256,256,192,65536,8723,0.13310242,13.3102,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000011,919,802,256x256,256,223,65536,30004,0.45782471,45.7825,0,0.0,0,0.0,0,0.0,0,0.0,1,0.01625289,ok,
000012,640,480,256x256,256,192,65536,10275,0.15678406,15.6784,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000013,640,480,256x256,256,192,65536,6874,0.10488892,10.4889,1,0.02018555,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000014,2592,1936,256x256,256,191,65536,2658,0.04055786,4.0558,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000015,3008,2000,256x256,256,170,65536,521,0.00794983,0.795,1,0.01113082,0,0.0,1,0.00389229,0,0.0,0,0.0,ok,
000016,3072,2304,256x256,256,192,65536,19350,0.29525757,29.5258,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000017,4288,2848,256x256,256,170,65536,2359,0.03599548,3.5995,0,0.0,0,0.0,0,0.0,1,0.00129968,0,0.0,ok,
000018,3872,2592,256x256,256,171,65536,4229,0.06452942,6.4529,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000019,3872,2592,256x256,256,171,65536,1416,0.02160645,2.1606,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000020,3008,2000,256x256,256,170,65536,597,0.0091095,0.9109,1,0.00513398,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000021,4288,2848,256x256,256,170,65536,2130,0.03250122,3.2501,0,0.0,0,0.0,0,0.0,1,0.00129043,1,0.00810614,ok,
000022,4288,2848,256x256,256,170,65536,1290,0.01968384,1.9684,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000023,767,576,256x256,256,192,65536,16251,0.24797058,24.7971,1,0.08913244,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000024,3024,2016,256x256,256,171,65536,2012,0.03070068,3.0701,1,0.01157998,0,0.0,0,0.0,1,0.00229234,0,0.0,ok,
000025,1024,768,256x256,256,192,65536,41634,0.63528442,63.5284,1,0.19448344,0,0.0,0,0.0,1,0.01322556,0,0.0,ok,
000026,4288,2848,256x256,256,170,65536,1187,0.01811218,1.8112,1,0.01188874,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000027,4288,2848,256x256,256,170,65536,1598,0.02438354,2.4384,0,0.0,0,0.0,0,0.0,1,0.00258774,0,0.0,ok,
000028,1024,768,256x256,256,192,65536,9153,0.1396637,13.9664,0,0.0,1,0.03716914,0,0.0,0,0.0,0,0.0,ok,
000029,4288,2848,256x256,256,170,65536,6895,0.10520935,10.5209,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000030,4288,2848,256x256,256,170,65536,971,0.01481628,1.4816,0,0.0,0,0.0,0,0.0,1,0.00132081,1,0.00532565,ok,
000031,3072,2304,256x256,256,192,65536,13547,0.20671082,20.6711,1,0.17561778,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000032,959,723,256x256,256,193,65536,8138,0.12417603,12.4176,1,0.05871146,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000033,3008,2000,256x256,256,170,65536,1233,0.01881409,1.8814,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000034,1024,768,256x256,256,192,65536,22987,0.35075378,35.0754,1,0.03095245,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000035,6682,4382,256x256,256,168,65536,6490,0.09902954,9.903,0,0.0,0,0.0,1,0.0895261,0,0.0,0,0.0,ok,
000036,1024,768,256x256,256,192,65536,6097,0.09303284,9.3033,1,0.00526683,0,0.0,0,0.0,1,0.0022405,0,0.0,ok,
000037,6668,4439,256x256,256,170,65536,10918,0.16659546,16.6595,0,0.0,1,0.01333155,0,0.0,0,0.0,0,0.0,ok,
000038,4288,2848,256x256,256,170,65536,3130,0.04776001,4.776,0,0.0,0,0.0,0,0.0,1,0.00375132,0,0.0,ok,
000039,6668,4459,256x256,256,171,65536,28005,0.42732239,42.7322,1,0.21849032,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000040,824,719,256x256,256,223,65536,22547,0.34403992,34.404,0,0.0,0,0.0,0,0.0,0,0.0,1,0.17613629,ok,
000041,3008,2000,256x256,256,170,65536,500,0.00762939,0.7629,1,0.0186368,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000042,3072,2304,256x256,256,192,65536,6589,0.10054016,10.054,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000043,3072,2304,256x256,256,192,65536,7866,0.12002563,12.0026,1,0.00506761,1,0.01550138,0,0.0,0,0.0,1,0.00724552,ok,
000044,3872,2592,256x256,256,171,65536,5546,0.08462524,8.4625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000045,3008,2000,256x256,256,170,65536,430,0.00656128,0.6561,1,0.01004455,0,0.0,0,0.0,0,0.0,1,0.01020196,ok,
000046,3072,2304,256x256,256,192,65536,14077,0.21479797,21.4798,1,0.35398003,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000047,3072,2304,256x256,256,192,65536,11225,0.17127991,17.128,0,0.0,1,0.07874227,0,0.0,0,0.0,1,0.01854423,ok,
000048,3872,2592,256x256,256,171,65536,1410,0.02151489,2.1515,0,0.0,0,0.0,0,0.0,1,0.00592125,0,0.0,ok,
000049,1024,768,256x256,256,192,65536,31496,0.48059082,48.0591,1,0.07640966,0,0.0,0,0.0,1,0.03251266,0,0.0,ok,
000050,1024,768,256x256,256,192,65536,5965,0.09101868,9.1019,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000051,1504,1129,256x256,256,192,65536,20106,0.30679321,30.6793,1,0.08801625,0,0.0,0,0.0,0,0.0,0,0.0,ok,
000052,2592,3872,256x256,171,256,65536,2753,0.04200745,4.2007,1,0.00781778,0,0.0,0,0.0,0,0.0,1,0.01685554,ok,
000053,2048,1536,256x256,256,192,65536,5360,0.08178711,8.1787,1,0.10376517,0,0.0,0,0.0,0,0.0,1,0.00627677,ok,
