image_id,pigment_network,negative_network,streaks,milia_like_cyst,globules,feature_count,status
000001,1,0,0,0,0,1,ok
000002,1,0,1,0,0,2,ok
000003,1,0,1,0,1,3,ok
000004,1,0,0,0,0,1,ok
000005,1,1,0,0,1,3,ok
000006,0,0,0,0,0,0,ok
000007,0,0,0,0,1,1,ok
000008,0,0,0,0,1,1,ok
000009,1,0,0,0,0,1,ok
000010,0,0,0,0,0,0,ok
000011,0,0,0,0,1,1,ok
000012,0,0,0,0,0,0,ok
000013,1,0,0,0,0,1,ok
000014,0,0,0,0,0,0,ok
000015,1,0,1,0,0,2,ok
000016,0,0,0,0,0,0,ok
000017,0,0,0,1,0,1,ok
000018,0,0,0,0,0,0,ok
000019,0,0,0,0,0,0,ok
000020,1,0,0,0,0,1,ok
000021,0,0,0,1,1,2,ok
000022,0,0,0,0,0,0,ok
000023,1,0,0,0,0,1,ok
000024,1,0,0,1,0,2,ok
000025,1,0,0,1,0,2,ok
000026,1,0,0,0,0,1,ok
000027,0,0,0,1,0,1,ok
000028,0,1,0,0,0,1,ok
000029,0,0,0,0,0,0,ok
000030,0,0,0,1,1,2,ok
000031,1,0,0,0,0,1,ok
000032,1,0,0,0,0,1,ok
000033,0,0,0,0,0,0,ok
000034,1,0,0,0,0,1,ok
000035,0,0,1,0,0,1,ok
000036,1,0,0,1,0,2,ok
000037,0,1,0,0,0,1,ok
000038,0,0,0,1,0,1,ok
000039,1,0,0,0,0,1,ok
000040,0,0,0,0,1,1,ok
000041,1,0,0,0,0,1,ok
000042,0,0,0,0,0,0,ok
000043,1,1,0,0,1,3,ok
000044,0,0,0,0,0,0,ok
000045,1,0,0,0,1,2,ok
000046,1,0,0,0,0,1,ok
000047,0,1,0,0,1,2,ok
000048,0,0,0,1,0,1,ok
000049,1,0,0,1,0,2,ok
000050,0,0,0,0,0,0,ok
000051,1,0,0,0,0,1,ok
000052,1,0,0,0,1,2,ok
000053,1,0,0,0,1,2,ok
000054,1,0,0,0,0,1,ok
000055,1,0,1,0,1,3,ok
000056,0,0,0,0,1,1,ok
000057,0,0,0,0,0,0,ok
000058,0,0,0,0,0,0,ok
000059,0,0,0,0,0,0,ok
000060,1,0,0,0,0,1,ok
000061,0,0,0,0,0,0,ok
000062,1,0,0,1,0,2,ok
000063,1,0,0,0,0,1,ok
000064,1,0,0,0,0,1,ok
000065,1,1,0,0,0,2,ok
000066,0,0,0,0,0,0,ok
000067,0,0,0,0,0,0,ok
000068,0,0,1,0,1,2,ok
000069,1,0,0,0,0,1,ok
000070,1,0,0,1,0,2,ok
000071,1,0,0,0,0,1,ok
000072,0,0,0,0,0,0,ok
000073,1,0,0,0,0,1,ok
000074,1,0,0,0,0,1,ok
000075,0,0,0,0,0,0,ok
000076,0,0,0,0,0,0,ok
000077,1,1,0,0,1,3,ok
000078,0,0,0,0,0,0,ok
000079,1,1,0,0,1,3,ok
000080,0,0,0,0,1,1,ok
000081,0,0,0,0,0,0,ok
000082,1,0,0,0,1,2,ok
000083,1,0,0,1,1,3,ok
000084,0,1,0,0,0,1,ok
000085,1,0,0,1,1,3,ok
000086,0,0,0,0,1,1,ok
000087,0,0,0,0,1,1,ok
000088,1,0,0,0,0,1,ok
000089,0,0,0,1,0,1,ok
000090,1,0,0,1,0,2,ok
000091,1,0,0,0,0,1,ok
000092,1,0,0,0,0,1,ok
000093,0,0,0,1,0,1,ok
000094,1,0,0,0,1,2,ok
000095,0,0,0,0,0,0,ok
000096,1,0,0,0,1,2,ok
000097,1,0,0,0,0,1,ok
000098,1,0,0,0,0,1,ok
000099,1,0,0,1,0,2,ok
000100,1,1,0,0,0,2,ok
000101,0,0,0,1,0,1,ok
000102,1,0,0,0,0,1,ok
000103,1,0,0,0,0,1,ok
000104,1,0,0,0,1,2,ok
000105,1,0,0,0,0,1,ok
000106,1,0,0,0,0,1,ok
000107,1,0,0,0,0,1,ok
000108,1,0,1,0,0,2,ok
000109,1,0,0,0,0,1,ok
000110,0,0,0,0,1,1,ok
000111,1,0,0,0,0,1,ok
000112,1,0,0,0,0,1,ok
000113,1,0,0,0,0,1,ok
000114,0,0,1,0,0,1,ok
000115,1,0,0,0,1,2,ok
000116,0,0,0,0,1,1,ok
000117,1,0,0,0,0,1,ok
000118,1,0,0,0,0,1,ok
000119,1,0,0,0,0,1,ok
000120,0,0,0,0,1,1,ok
000121,1,0,0,1,1,3,ok
000122,1,0,0,0,0,1,ok
000123,0,0,0,0,0,0,ok
000124,1,0,0,1,0,2,ok
000125,0,0,0,0,0,0,ok
000126,1,0,0,0,1,2,ok
000127,0,0,0,0,1,1,ok
000128,0,0,0,0,0,0,ok
000129,1,0,0,0,0,1,ok
000130,0,0,0,1,0,1,ok
000131,1,0,0,0,0,1,ok
000132,1,0,0,0,1,2,ok
000133,1,0,0,0,0,1,ok
000134,0,0,0,0,0,0,ok
000135,0,0,1,0,0,1,ok
000136,1,0,0,0,0,1,ok
000137,0,0,0,1,0,1,ok
000138,0,0,0,0,0,0,ok
000139,1,0,1,0,1,3,ok
000140,1,0,0,1,0,2,ok
000141,0,0,0,0,0,0,ok
000142,1,0,0,0,0,1,ok
000143,1,0,0,0,0,1,ok
000144,1,0,0,0,0,1,ok
000145,0,0,0,0,1,1,ok
000146,0,0,0,0,0,0,ok
000147,1,0,0,0,0,1,ok
000148,1,0,0,0,0,1,ok
000149,1,0,0,0,0,1,ok
000150,0,0,0,1,0,1,ok
000151,1,0,0,0,0,1,ok
000152,1,0,0,0,0,1,ok
000153,0,0,0,0,0,0,ok
000154,0,1,0,1,0,2,ok
000155,1,0,0,1,0,2,ok
000156,0,0,0,0,1,1,ok
000157,1,1,0,0,0,2,ok
000158,1,0,0,0,0,1,ok
000159,1,0,0,0,0,1,ok
000160,1,0,0,0,0,1,ok
000161,1,0,0,0,1,2,ok
000162,1,0,1,0,0,2,ok
000163,0,0,0,0,0,0,ok
000164,1,0,0,0,0,1,ok
000165,0,0,0,0,0,0,ok
000166,1,0,0,1,0,2,ok
000167,1,0,0,0,0,1,ok
000168,1,0,0,0,0,1,ok
000169,1,0,0,0,0,1,ok
000170,0,0,0,0,0,0,ok
000171,1,0,0,0,0,1,ok
000172,1,0,0,0,0,1,ok
000173,1,0,0,0,0,1,ok
000174,0,1,0,0,1,2,ok
000175,1,0,0,0,1,2,ok
000176,1,0,0,1,0,2,ok
000177,0,0,0,0,0,0,ok
000178,0,0,0,0,0,0,ok
000179,1,0,0,0,0,1,ok
000180,1,0,0,0,0,1,ok
000181,0,0,0,1,0,1,ok
000182,0,0,0,0,1,1,ok
000183,0,0,0,1,0,1,ok
000184,1,0,0,0,0,1,ok
000185,1,0,0,1,0,2,ok
000186,1,0,0,0,1,2,ok
000187,1,0,1,0,1,3,ok
000188,1,0,0,0,0,1,ok
000189,1,0,0,0,0,1,ok
000190,1,0,0,0,0,1,ok
000191,0,0,0,0,0,0,ok
000192,0,0,0,0,0,0,ok
000193,1,0,0,1,0,2,ok
000194,1,0,0,0,0,1,ok
000195,1,0,0,1,0,2,ok
000196,1,0,0,1,1,3,ok
000197,1,0,0,0,0,1,ok
000198,0,0,0,0,1,1,ok
000199,1,0,0,0,0,1,ok
000200,0,0,0,0,0,0,ok
000201,1,0,0,0,0,1,ok
000202,1,0,0,1,1,3,ok
000203,0,1,0,0,0,1,ok
000204,1,0,0,0,0,1,ok
000205,1,0,0,0,1,2,ok
000206,1,0,0,0,0,1,ok
000207,1,0,0,0,0,1,ok
000208,0,0,0,0,1,1,ok
000209,1,0,0,0,0,1,ok
000210,0,1,0,0,0,1,ok
000211,0,0,0,0,0,0,ok
000212,1,0,0,0,0,1,ok
000213,1,0,0,0,0,1,ok
000214,1,0,0,0,0,1,ok
000215,0,0,0,0,0,0,ok
000216,0,1,0,0,1,2,ok
000217,1,0,0,0,1,2,ok
000218,1,0,0,0,1,2,ok
000219,1,0,0,0,0,1,ok
000220,0,0,0,0,0,0,ok
000221,1,0,0,0,0,1,ok
000222,0,0,1,0,1,2,ok
000223,1,0,0,0,0,1,ok
000224,0,0,0,0,1,1,ok
000225,1,0,0,0,0,1,ok
000226,1,0,0,0,0,1,ok
000227,0,0,0,0,1,1,ok
000228,1,0,0,0,0,1,ok
000229,1,0,0,0,1,2,ok
000230,1,0,0,0,1,2,ok
000231,0,0,0,0,0,0,ok
